net.sales	cost.of.goods.and.services	cost.of.labor	depreciation	financial.expenses	interest	EBIT	EBITDA	net.income	assets	equity	debt	cash	lt.assets	st.assets	total.oper.liabilities	st.oper.liabilities	lt.liabilities	st.liabilities	inventories	FFO	OCF	public	activity	size	credit.score	Cluster
31960242.0	26898728.0	2892979.0	966624.0	41179.0	41179.0	1123037.0	2089661.0	1002998.0	15827926.0	6435255.0	5406379.0	1914543.0	8225726.0	7224856.0	2683816.0	2683816.0	0.0	8090195.0	2552814.0	1847763.0	4056675.0	0.0	1.0	71.0	A	C5
3076053.0	2564895.0	454059.0	73113.0	31760.0	31760.0	8529.0	81642.0	9647.0	2790654.0	1603179.0	103578.0	110.0	1079887.0	1710767.0	906417.0	720090.0	363807.0	823668.0	1009220.0	75927.0	12831.0	0.0	0.0	67.0	A	C7
17585210.0	13256105.0	2546913.0	814393.0	74503.0	74503.0	1096909.0	1911302.0	964411.0	13681853.0	9297117.0	2274055.0	72210.0	7129158.0	6552695.0	1269368.0	1269368.0	690439.0	2879350.0	3646683.0	1753757.0	1468585.0	0.0	1.0	67.0	A	C7
15474676.0	9244385.0	4737475.0	1559647.0	31196.0	31196.0	218900.0	1778547.0	388822.0	12923721.0	7172281.0	1410174.0	3093673.0	6603288.0	6280296.0	3755614.0	2144737.0	2713083.0	2452705.0	137857.0	1327972.0	1263551.0	0.0	1.0	69.0	A	C7
14122046.0	9370395.0	2908424.0	1290820.0	170643.0	170643.0	352632.0	1643452.0	325031.0	9573662.0	6503161.0	1501000.0	704319.0	4069116.0	5502211.0	1473361.0	1473361.0	0.0	2974361.0	2271413.0	1516559.0	2231899.0	0.0	1.0	67.0	A	C7
3656938.0	3475790.0	2134912.0	585070.0	88035.0	88035.0	-688049.0	-102979.0	-766718.0	9410103.0	3562069.0	2530900.0	120369.0	7173387.0	2102737.0	1209632.0	1209632.0	1741020.0	1999512.0	954475.0	-222027.0	-56163.0	0.0	1.0	66.0	E	C1
7202084.0	4662332.0	2496139.0	421738.0	32314.0	14988.0	-580677.0	-158939.0	-148839.0	5895210.0	4314811.0	1045.0	578947.0	3587676.0	2296789.0	870878.0	870878.0	0.0	871923.0	131160.0	261911.0	693188.0	0.0	2.0	65.0	E	C7
15146377.0	10137179.0	3876224.0	562796.0	227012.0	227012.0	634964.0	1197760.0	437518.0	10515065.0	2382394.0	2156655.0	1897482.0	4032444.0	6458675.0	5036867.0	3774174.0	3419348.0	3774174.0	2384903.0	688731.0	1955594.0	0.0	2.0	67.0	A	C6
2313505.0	1495623.0	724677.0	56030.0	181867.0	181867.0	40466.0	96496.0	-154212.0	6217866.0	2516106.0	2304290.0	4889.0	2448013.0	3769853.0	1386063.0	1047046.0	1700078.0	1990275.0	2664162.0	-99148.0	525314.0	0.0	0.0	67.0	E	C2
7620842.0	6667565.0	460794.0	269634.0	7925.0	7925.0	269857.0	539491.0	355276.0	4514619.0	1988589.0	595372.0	131729.0	2934352.0	1565860.0	1859855.0	1859855.0	595372.0	1859855.0	770506.0	624910.0	163528.0	0.0	0.0	70.0	A	C5
2834282.0	1808171.0	1101911.0	110170.0	243.0	243.0	-21159.0	89011.0	7081.0	2134279.0	1487584.0	0.0	108122.0	1048078.0	1068650.0	502812.0	502812.0	0.0	502812.0	119010.0	107108.0	61138.0	1.0	0.0	69.0	A	C7
29029016.0	17584190.0	10309999.0	1860852.0	2394710.0	1061337.0	-2469135.0	-608283.0	-5351599.0	72016328.0	39175152.0	20040964.0	2832148.0	55124964.0	16730785.0	7463729.0	7463729.0	14285634.0	15227378.0	6201996.0	-3742211.0	-1043812.0	0.0	2.0	74.0	E	C1
